Content Type,Size,Content Title,Content,Designer Name,Instructions For Designer,Reference Link/Image,Assigned By,Assigned Date,Completion Date,Design Status,Approval Status,Captions,Posting Status,Design Drive Link,,,,
Event Cover,"Landscape
1600x900",Stirling Event 24th April,"FES, 21 yrs and University of Stirling Logo

Study in Scotland
Application Day

Bachelors and Masters Programs
MOI Accepted
Apply For September 2025 Intake

24th April, 2025
10:00 AM - 6:00 PM

Join us at FES Offices in
Lahore 

Gujranwala

Rawalpindi

Wah Cantt

Peshawar 

Mardan

Abbottabad 

Karachi

Register Now!
Make a Difference

0341 8454555
0346 8454999
www.fespak.com",Tayyaba,-,-,Insia,10th April,11th April,Completed ,Approved,"Thinking about studying in Scotland? Don’t miss the University of Stirling Application Day at FES Offices on 24th April! Meet experts, explore Bachelor’s & Master’s programs, apply with MOI and get on-spot support for the September 2025 intake.",Posted,,,,,
Event Cover,"Landscape
1600x900",DMU 15 April in RWP,"FES & DMU Dubai logo
Study In Dubai
In-House Session
Location icon: FES Office, Rawalpindi, Kohistan Tower
Date: 15th April, 2025
Timings: 01:30 PM - 03:30 PM
0345 8454708 | 0346 8454566
www.fespak.com
",Raheel,Use same theme with diff colors in this and the next mentioned event (RWP & LHR),-,Shumaila,10th April,10th April,Completed ,Approved,"Study in Dubai! 🇦🇪 Join our in-house session with De Montfort University Dubai at the FES Office, Rawalpindi on April 15th, 2025, from 01:30 PM - 03:30 PM. Learn about their programs and opportunities! 

📍 Office No. 104-104A, 1st Floor, Mehfooz Shaheed Road, Kohistan Tower, Saddar Rawalpindi.

For More Info
0345-8454708
0346-8454566
www.fespak.com",Posted,,,,,
Event Cover,"Landscape
1600x900",DMU 18 Apr in LHR,"FES & DMU Dubai logo
Study In Dubai
In-House Session
Location icon: FES Head Office, Lahore
Date: 18th April, 2025
Timings: 03:30 PM - 05:30 PM
0345-8454770 | 0346 8454546
www.fespak.com
",Raheel,same as above,-,Shumaila,10th April,11th April,Completed ,Approved,"Unlock your international study journey with FES and De Montfort University Dubai! Join our in-house session at FES Office, DHA, Lahore on April 18th, 2025, from 03:30 PM - 05:30 PM. Your future in Dubai starts here!

📍 Plaza #34, DD Commercial Area, DHA Phase 4, Lahore.

Call/WhatsApp: 0345-8454769

www.fespak.com",Posted,,,,,
Event Cover,"Landscape
1600x900",Aberystwyth University 25th Apr,"FES, 21 yrs and Aberystwyth University Logo

Study in Wales
Application Day

25th April, 2025
10:00 AM - 6:00 PM

Why Attend?
Bachelors and Masters Courses
Work While Studying
Direct Counselling

Join us at FES Offices in
Lahore 
Gujranwala
Rawalpindi
Wah Cantt
Peshawar 
Mardan
Abbottabad 
Karachi

Register Now!
Make a Difference

0341 8454555
0346 8454999
www.fespak.com",Tayyaba,Highlight cities and time/date,-,Insia,10th April,11th April,Completed ,Approved,"Join us for Aberystwyth University’s Application Day on 25th April, 2025, at FES offices across Pakistan. Explore Bachelor’s and Master’s programs, get direct counselling, and learn how you can work while studying in Wales. Register now and take the first step toward a future that makes a difference.",Posted,,,,,
SM post,,Birthday post ,"1. Seemab Saleem
2. Shehryar",Raheel,-,-,Shumaila,10th April,10th April,Completed ,-,None,Posted,,,,,
Branding,6 X 3,Signage for Abbottabad,"FES logo
Contact: 03458454747",Akbar,-,-,Shumaila,10th April,21 April,Completed ,Approval pending,None,No need to post,,,,,
SM post,1080x1350(W x H) insta,IELTS UKVI Computer Based,"Put the logo of IELTS 8.0 by FES & British Council & IELTS Official logo

IELTS UKVI Computer Based Now Available in *Sialkot & Abbottabad!*

The British Council has expanded its locations for the IELTS UKVI Computer based test. 

(Add Given Image) 


Register yourselves with FES for your IELTS Preparation!

0345-8454768 | 0341-8454555 www.fespak.com
",Tayyaba,-,-,Ahmad,10th April,10th April,Completed ,Approved,"The British Council has officially launched Computer Based IELTS UKVI test centers in Sialkot and Abbottabad, making it easier and more convenient for students and professionals to take their tests closer to home. All the best!",Posted,,,,,
SM post,,Friday Post,Jummah Mubarak,Raheel,-,-,Shumaila,11th April,11th April,Completed ,Approved,-,Posted,,,,,
SM post,1080x1350(W x H) insta,Updates with FES,"Put the Logo of FES 
SSC Students to get options for new subjects including “Fashion Designing” 

This a great initiative for revolutionizing the Education System in Pakistan

#updates_with_fes

www.fespak.com
",Akbar,,,Ahmad,19th April,,Not completed,-,-,Design not completed,,,,,
Reel,Reel Size,Karachi Video ,"In House Session
Rabia Dar",Sherry,,,Ahmad,11th April,11th April,Completed ,,None,Posted,,,,,
Reel,Reel Size,Karachi MMU Reps,Shout Out,Sherry,,,Ahmad,12th April,,Completed ,,None,Discarded by Karachi Team,,,,,
Reel,Reel Size,Ghibli Art Vid,Shared to Designer,Sherry,,,Ahmad,12th April,,Completed ,Approved,"Jumping into the Ghibli art trend, but this time with our students😍💚.",Posted,,,,,
Certificate,,FJWU Certificate,"
FATIMA JINNAH WOMEN UNIVERSITY 
Certificate of Appreciation

STUDENT SUPPORT SERVICES

_____

In recognition of her/his active participation during Event
_____


This training is made possible through the technical support of the USAID’s Higher Education System Strengthening Activity Student Support Services Component

____
Prof. Dr. Uzma Rafique
Vice Chancellor
____
Prof. Dr. Bushra Yasmin 
Team Leader,  
Student Support Services

____
Focal person HESSA",Raheel,,,Insia,12th April,12th April,Completed ,,None,no need to post,,,,,
Event Cover,"Landscape
1600x900",MMU App Day,"FES, 21 yrs and Manchester Metropolitan University (MMU) Logo
Study in the UK
Application Day

26th April, 2025
10:00 AM - 6:00 PM

Why Attend?
Undergraduate & Postgraduate Programs
Scholarships upto £6000
On Spot Assessment
PSW Opportunities

Join us at FES Offices in
Lahore 
Gujranwala
Rawalpindi
Wah Cantt
Peshawar 
Mardan
Abbottabad 
Karachi

Apply for the upcoming intake
0341 8454555
0346 8454999
www.fespak.com",Tayyaba,,,Insia,12th April,12th April,Completed ,Approved,"Join Manchester Metropolitan University (MMU) for Application Day on 26th April, 2025, from 10:00 AM to 6:00 PM at FES offices nationwide.

Why attend?
* Explore Undergraduate & Postgraduate Programs
* Scholarships up to £6,000
* On-Spot Assessment
* Post-Study Work (PSW) Opportunities

Get expert guidance and take the next step toward studying in the UK. Register now and secure your future with MMU.",Posted,,,,,
Event Cover,"Landscape
1600x900",Dundee App Day,"FES, 21 yrs and University of Dundee Logo
Study in the UK
Application Day

28th April, 2025
10:00 AM - 6:00 PM

Visit us for Personalized Counseling
FES Office, DHA, Lahore 
FES Office, Gujranwala
FES Office, Rawalpindi
FES Office, Wah Cantt
FES Office, Peshawar 
FES Office, Peshawar Deans
FES Office, Mardan
FES Office, Abbottabad 
FES Office, Karachi

Apply for the upcoming intake
0341 8454555
0346 8454999
www.fespak.com",Tayyaba,,,Insia,12th April,14th April,Completed ,Approved,"Join us for the University of Dundee Application Day on 28th April, 2025, from 10:00 AM to 6:00 PM at FES offices nationwide. Get personalized counselling, explore study options in the UK, and take the next step toward your academic future.",Posted,,,,,
SM post,1080x1350(W x H) insta,FES UAE,"Fes and 21 Years logo
Want to Study Abroad?
Why Just Dream?
Make It Happen With FES

Consult Now!

The Meydan Hotel, Grandstand, 6th floor, Meydan Road, Nad Al Sheba, Dubai, U.A.E

+971 58 506 2157
www.fespak.com",Tayyaba,Theme should go well with previous designs,,Insia,12th April,14th April,Completed ,Approved,"Start your international education journey with FES, the top study abroad consultancy with 21 years of excellence.",Posted from FESUAE,,,,,
S U N D A Y                                                                                                                        S U N D A Y,,,,,,,,,,,,,,,,,,
SM post,1080x1350(W x H) insta,FES UAE,"Fes and 21 Years logo
One Dream. Multiple Destinations

UK Malaysia Germany
Start Your Career Abroad

Apply Now!
*Free Consultation

The Meydan Hotel, Grandstand, 6th floor, Meydan Road, Nad Al Sheba, Dubai, U.A.E

+971 58 506 2157
www.fespak.com",Tayyaba,Urgent Follow FES UAE Theme,https://www.pinterest.com/pin/43206477670345746/,Insia,14th April,,Completed ,,"Explore top study destinations in the UK, Malaysia, and Germany. Start your global career with expert guidance and free consultation in the UAE.",Posted,,,,,
Event Cover,1080x1350(W x H) insta,FES UAE,"Fes and 21 Years logo
Applications Open For September 2025 Intake
Apply Now!

The Meydan Hotel, Grandstand, 6th floor, Meydan Road, Nad Al Sheba, Dubai, U.A.E

+971 58 506 2157
www.fespak.com",Tayyaba,Follow FES UAE Theme,,Insia,14th April,17th April,Completed ,Approved,"Planning to study abroad? Applications Now Open for September 2025 Intake! Start your application process today with expert guidance from our UAE office. From university selection to visa support, we’re here to make your study abroad dream a reality.",Posted from FES UAE,,,,,
Event Cover,"Landscape
1600x900",MDX Recruitment Drive,"FES & Middlesex University London logo
Study In London
In-House Recruitment Drive
Meet And Connect With
Anoose Faris (Add his picture)
Regional Recruitment Manager MENAP 
23rd April, 2025
Timings: 10 AM – 6 PM
Location: FES Office, DHA, Lahore

- Get On-Spot Assessment
- Apply for September 2025 Intake
- Explore Scholarships & Study Options

0345 8454769
www.fespak.com
",Raheel,"Most Urgent
Deadline: Today before 5:30 PM","Take picture from here:
https://www.linkedin.com/in/anoose-faris-122a4826/?originalSubdomain=ae",Shumaila,14th April,14th April,Completed ,,"Looking to study in London? Don’t miss this In-House Recruitment Drive with Anoose Faris, Regional Recruitment Manager MENAP, on April 23rd, 2025, from 10 AM to 6 PM at the FES Office, DHA, Lahore. 

- Get on-spot assessments
- Apply for the September 2025 intake
- Explore scholarships and study options

Meet and connect with Anoose Faris to take the next step in your academic journey!",Posted,,,,,
SM post,1080x1350(W x H) insta,April & May Events ,"""FES, 21 yrs Logo
Application Days
Featuring Top UK Universities

(Display logos of these Universities)
Edinburgh Napier University 
University of Southwales 
University of Portsmouth
University of Stirling
Aberystwyth University
Manchester Metropolitan University (MMU), UK
University of Dundee
LJMU
Robert Gordon University
Anglia Ruskin University
University of Essex
University of Northampton, UK
Nottingham Trent University
University of East Anglia

21st April, 2025 to 7th May, 2025

Why Attend?
On-Site & Online Consultation 
Discuss your course options
Direct Admission Support

Join us at FES Offices in
Lahore 
Gujranwala
Rawalpindi
Wah Cantt
Peshawar 
Mardan
Abbottabad 
Karachi


Free Entry
Apply for the upcoming intake
0341 8454555
0346 8454999
www.fespak.com""",Raheel,,,Insia,14th April,18 April,Completed ,,"Join FES from 21st April to 7th May 2025 for UK Application Days across major cities in Pakistan. Meet top UK university reps, get course guidance and receive direct admission support — all under one roof!",Posted,,,,,
SM post,1080x1350(W x H) insta,IELTS ,"IELTS 8.0 by FES  logo
Get Into Your Dream University with a Top IELTS Score From FES

Avail the Free Demo Class & Start Your Preparation with FES Today

0345-8454768 | 0341-8454555 www.fespak.com
",Raheel,Highlight IELTS and Free Demo Class,,Insia,14 April,18 April,Completed ,Approved,"Get into your dream university with a top IELTS score! 🎯 Join us for a Free Demo Class at our Rawalpindi and Peshawar offices and start your IELTS prep with expert trainers. Limited spots available – register now!
",Posted,,,,,
SM post,1080x1350(W x H) insta,Hiring post Gujranwala & DHA Lahore,"FES logo
We Are Hiring
Position: Senior Education Counselor
Education: Bachelor's/Master’s degree
Experience Required: Minimum 4 Years
Location: DHA Lahore & Gujranwala

What We Offer:
✅ Market Competitive Salary
✅ Attractive Incentive Structure
✅ Health Insurance Coverage
✅ Professional Growth Opportunities
✅ Supportive & Collaborative Work Environment

To apply, send your CV to info@fesrozgar.com
www.fespak.com
",Tayyaba,Urgent,,Shumaila,14 April,14 April,Completed ,Approved,-,Posted,,,,,
SM post,1080x1350(W x H) insta,Hiring post Gujranwala & DHA Lahore,"FES logo
We Are Hiring
Position: Education Counselor
Education: Bachelor's/Master’s degree
Experience Required: Minimum 2 Years
Location: DHA Lahore & Gujranwala

What We Offer:
✅ Market Competitive Salary
✅ Attractive Incentive Structure
✅ Health Insurance Coverage
✅ Professional Growth Opportunities
✅ Supportive & Collaborative Work Environment

To apply, send your CV to info@fesrozgar.com
www.fespak.com
",Tayyaba,Urgent,,Shumaila,14 April,15 April,Completed ,Approved,-,Posted,,,,,
Certificate,1080x1350(W x H) insta,FJWU Certificate Revision,"Remove During Event
Remove Training Lines
Place Humera Sadia's name only ",Raheel,Urgent,,Insia,15 April,15 April,Completed ,,None,no need to post,https://drive.google.com/drive/folders/15rkVuN_Q_7xn6p0iQHGD2PjK2wzRwzup,,,,
Certificate,1080x1350(W x H) insta,NewBorn Template,New Template Design for New Born,Tayyaba,-,-,Arooba,15 April,,Completed ,,None,no need to post,,,,,
SM post,1080x1350(W x H) insta,Special Days,"FES logo
21st April
Death Anniversary Allama Muhammad Iqbal
A tribute to the Poet of the East — the visionary behind Pakistan's dream. 🇵🇰
(1877 – 1938)
www.fespak.com
",Tayyaba,Share before 20th April,,Shumaila,15 April,19 April,Completed ,,Some voices never fade. 21st April — the day we remember the voice that echoed freedom and identity for the Muslim Ummah. Rest in Peace 🦅.,Posted,,,,,
Event Cover,,UoP App Day Wah Cantt.,"FES logo & University of Portsmouth logo
Study in the UK
Application Day
September 2025 Intake
Location: FES Office, Wah Cantt. 
Friday, 18th April, 2025
Timings: 2:00 PM and 6:00 PM
0345-8454773
www.fespak.com
",Tayyaba,"Same design as previous, just change the content.",,Shumaila,15 April,15 April,Completed ,,"Study at the University of Portsmouth, UK! 🇬🇧
Take the next step in your academic journey with the University of Portsmouth – a career-focused, research-driven university in the UK! 🌍

Join our Application Day to explore top-tier programs, scholarship opportunities and vibrant student life.

📅 April 18th, 2025
⏰ 2 PM - 6 PM
📍 FES Office, Wah Cantt.",Posted,,,,,
SM post,1080x1350(W x H) insta,GCU Rep,"FES logo & GCU logo
Study in the UK
Glasgow Caledonian University
Meet with Ms. Qurat ul Ain
Senior Student Recruitment Specialist - GCU

17-April-2025
Timings: 4 PM – 6 PM
FES Office, Peshawar
0346 8454522
www.fespak.com
",Raheel,,https://www.linkedin.com/in/qurat-ul-ain-a97a88138/?originalSubdomain=pk,Shumaila,16 April,16 April,Completed ,,"Curious about studying at one of Scotland’s top universities? Join us for the Glasgow Caledonian University Application Day. Meet GCU's Senior Student Recruitment Specialist, Ms. Qurat-ul-Ain and get all your questions answered!",Posted,,,,,
SM post,1080x1350(W x H) insta,FES UAE,"Fes and 21 Years logo
Apply for your UK Student Visa
September 2025 intake is now open – secure your spot and begin your study abroad journey.

Inquire Now!

The Meydan Hotel, Grandstand, 6th floor, Meydan Road, Nad Al Sheba, Dubai, U.A.E
+971 58 506 2157
www.fespak.com",Tayyaba,Priority,,Insia,16 April,23 April,Completed ,,Let FES help you navigate your UK student visa process with ease. Apply now for the September 2025 intake and begin your journey towards a globally recognized degree.,Posted,,,,,
